azithromycin,ototoxicity
lithium,temporary blindness
propylthiouracil,elevated hepatic enzymes
PTU,elevated hepatic enzymes
propylthiouracil,hepatic impairment
IFN-alpha,MPGN
Interferon-alpha,MPGN
IFN-alpha,Minimal change disease
hydroxyurea,chronic myeloid leukaemia
hydroxyurea,CML
hydroxyurea,Philadelphia positive chronic myeloid leukaemia
chloroquine,chloroquine toxicity
chloroquine,severe chloroquine toxicity
chloroquine,Toxicity
carbimazole,fever
carbimazole,sore throat
carbimazole,agranulocytosis
carbimazole,sepsis
carbimazole,neutropenic sepsis
mitomycin C,Comeoscleral perforation
mitomycin C,corneoscleral melting
sulfonamide,bullous drug reaction
sulfonamide,Stevens-Johnson syndrome
sulfonamides,erythema multiforme
sulfonamides,Stevens-Johnson syndrome
lithium,diabetes insipidus
lithium,lithium toxicity
lithium,nephrogenic diabetes insipidus
lithium,polyuria
G-CSF,Systemic capillary leak syndrome
granulocyte colony-stimulating factor,Systemic capillary leak syndrome
granulocyte colony-stimulating factor,CLS
FK506,neurologic abnormalities
FK506,speech loss
FK506,mutism
Tacrolimus,mutism
insulin,oedema
insulin,ascites
insulin,peripheral oedema
insulin,pleural effusion
insulin,severe anasarca
insulin,hyperinsulinaemia
insulin,insulin insensitivity
insulin,anti-natriuresis
insulin,hypoalbuminaemia
insulin,increased vascular permeability
prednisolone,diabetic milieu deteriorated
methotrexate,acute cerebellar syndrome
doxycycline,Angioimmunoblastic lymphadenopathy with dysproteinemia
doxycycline,AILD
doxycycline,fever
doxycycline,generalized pruritic maculopapular eruption
isoniazid,Anaphylaxis
magnesium sulfate,low plasma parathyroid hormone
magnesium sulfate,PTH
magnesium sulfate,severe hypocalcemia
Carbamazepine,hyponatremia
5-ASA,polyneuropathy
5-aminosalicylic acid,Sensorimotor polyneuropathy
5-ASA,sensorimotor polyneuropathy
5-aminosalicylic acid,atrophy
5-ASA,atrophy
5-aminosalicylic acid,gait disturbance
5-ASA,gait disturbance
5-aminosalicylic acid,weakness
5-ASA,weakness
5-aminosalicylic acid,worsening of the dysesthesia
5-ASA,worsening of the dysesthesia
prednisone,Disseminated cellulitic cryptococcosis
SASP,atypical lymphocytosis
SASP,high fever
SASP,liver dysfunction
SASP,skin rash
salazosulfapyridine,infectious mononucleosis-like syndrome
SASP,infectious mononucleosis-like syndrome
infliximab,lupus-like syndrome
methotrexate,lupus-like syndrome
infliximab,lupus-like clinical syndrome
IFNalpha,renal dysfunction
interferon alpha,renal dysfunction
IFNalpha,renal abnormalities
Interferon-alpha,focal segmental glomerulosclerosis
IFNalpha,focal segmental glomerulosclerosis
rituximab,autoimmune hemolytic anemia
rituximab,destruction of CD20 positive cells
rituximab,massive cytokines liberation
hepatitis B vaccination,acute transverse myelitis
hepatitis B vaccination,acute onset tetraparesia
diphenhydramine,cardiotoxicity
Diphenhydramine,dysrhythmia
diphenhydramine,cardiac toxicity
cyclophosphamide,systemic candidiasis
prednisolone,Stevens-Johnson syndrome
prednisolone,SJS
dapsone,reversal reaction
rifampin,reversal reaction
thalidomide,neuropathic side effects
interferon alpha,neurological manifestations
recombinant interferon alpha-2a,bilateral optic neuritis
recombinant interferon alpha-2a,decreased sensation of vibration
recombinant interferon alpha-2a,increased deep tendon reflex
recombinant interferon alpha-2b,bilateral optic neuritis
recombinant interferon alpha-2b,bowel and bladder dysfunction
recombinant interferon alpha-2b,numbness of the lower extremities
interferon alpha,neurological signs
interferon alpha,Optic neuritis
alpha interferon,Multiple sclerosis-like disease
interferon alpha,bilateral optic neuritis
tamoxifen,Acute abdomen
tamoxifen,endometriosis
dapsone,agranulocytosis
dapsone,Fatal agranulocytosis
heparin,Massive pulmonary embolism
levetiracetam,Acute psychosis
levetiracetam,psychotic behavior
risperidone,obsessive-compulsive symptoms
granulocyte macrophage-colony-stimulating factor,Proliferation of abnormal bone marrow histiocytes
rosiglitazone,heart failure exacerbation
Enoxaparin,generalized exanthem
enoxaparin,generalized maculopapular rash
clonazepam,aggression
clonazepam,agitation
clonazepam,hyperactivity
clonazepam,irritability
clonazepam,property destruction
clonazepam,temper tantrums
clonazepam,behavioral exacerbation
Cefuroxime,immune hemolysis
cefuroxime,IHA
argatroban,bleeding
Argatroban,hepatic failure
argatroban,hepatic and renal failure
fluvoxamine,Schneiderian first-rank symptoms
fluvoxamine,first-rank symptoms
clozapine,EPS
interferon-alpha,Hyperpigmentation
IFN,skin lesions
interferon-alpha,skin lesions
IFN,hyperpigmented skin
ribavirin,hyperpigmented skin
IFN,tongue lesions
ribavirin,tongue lesions
ciprofloxacin,thrombocytosis
piperacillin,thrombocytosis
tazobactam,thrombocytosis
ciprofloxacin,thrombocyte count started to increase
piperacillin,thrombocyte count started to increase
tazobactam,thrombocyte count started to increase
chymopapain,Anaphylaxis
chymopapain,hypotensive
lithium,Lethargy
carbamazepine,fever
CBZ,fever
Tegretol,fever
carbamazepine,leukopenia
CBZ,leukopenia
Tegretol,leukopenia
carbamazepine,positive anti-nuclear antibody
CBZ,positive anti-nuclear antibody
Tegretol,positive anti-nuclear antibody
carbamazepine,rash
CBZ,rash
Tegretol,rash
carbamazepine,systemic lupus erythematosus (SLE)-like symptoms
CBZ,systemic lupus erythematosus (SLE)-like symptoms
Tegretol,systemic lupus erythematosus (SLE)-like symptoms
Carbamazepine,systemic lupus erythematosus-like disease
CBZ,SLE
RH,bilateral gynaecomastia
isoniazid,Gynaecomastia
Isoniazid,bilateral gynaecomastia
heparin,acute renal failure
heparin,HAT
heparin,recurrent arteriothromboses
Clexane,platelet activation
Fragmin,platelet activation
Fraxiparin,platelet activation
heparin,platelet activation
labetalol,Hemodynamic collapse
bromocriptine,pleuropulmonary abnormalities
cabergoline,pleuropulmonary abnormalities
cabergoline,Pleuropulmonary changes
methylprednisolone,Acute myopathy
vecuronium,Acute myopathy
methylprednisolone,degeneration of myosin filaments
vecuronium,degeneration of myosin filaments
vecuronium,Flaccid quadriparesis
vecuronium,respiratory failure
sulfasalazine,diffuse pulmonary shadowing
sulfasalazine,skin pigmentation
sulfasalazine,Pulmonary infiltrates
Sulfasalazine,lung disorder
Sulfasalazine,ulcerative colitis
isotretinoin,sclerotic changes of lumbar spine and femur
bleomycin,scleroderma
bleomycin,cutaneous scleroderma
adrenaline,dilated cardiomyopathy
carbamazepine,SLE
carbamazepine,systemic lupus erythematosus
13-cis-retinoic acid,acne fulminans
valproic acid,coma
carbamazepine,Asterixis
CBZ,asterixis
clozapine,asterixis
lithium,asterixis
CBZ,neurotoxicity
clozapine,neurotoxicity
alum,Encephalopathy
alum,seizures
cyclophosphamide,Hemorrhagic cystitis
alum,elevated aluminum levels
desmopressin,hyponatremia
desmopressin,Seizure
desmopressin,grand mal seizure
Tegretol,SIADH
norethisterone,Gestational diabetes
norethisterone,diabetes mellitus
norethisterone,impaired glucose tolerance
norethisterone,clitoral hypertrophy
norethisterone,Masculinization of a female fetus
IFN,CHF
recombinant alpha-interferon,congestive heart failure
IFN,congestive heart failure
cyclophosphamide,Neutrophilic eccrine hidradenitis
cyclophosphamide,NEH
ganciclovir,Generalised cutaneous rash
ganciclovir,Skin rash
ganciclovir,splinter hemorrhages
betamethasone,acute pancreatitis
roxithromycin,acute pancreatitis
FK506,Renal tubular acidosis
FK506,nephrotoxicity
FK506,RTA
L-dopa,unintended sleep episodes
L-DOPA,daytime sleepiness
L-dopa,daytime somnolence
methotrexate,Neurotoxicity
methotrexate,cytotoxic edema
methotrexate,aphasia
methotrexate,left arm weakness
lithium,Epstein's anomaly
lithium,teratogenicity
glyburide,hypoglycemia
ethambutol,Ocular ethambutol toxicity
ethambutol,optic neuropathy
ethambutol,ethambutol toxicity
ethambutol,vision loss
ethambutol,bilateral optic neuropathy
brompheniramine,fatality
dextromethorphan,fatality
pseudoephedrine,fatality
acenocoumarol,overanticoagulation
budesonide,Angioedema
budesonide,dysphagia
Budefat,dysphagia
Budefat,sore throat
budesonide,sore throat
Budefat,swelling of the lips and oral cavity
budesonide,swelling of the lips and oral cavity
dexamethasone,Infectious toxicity
dexamethasone,infectious complications
dexamethasone,infectious toxicities
cytarabine,NEH
mitoxantrone,NEH
infliximab,lupus
infliximab,anti-double-stranded DNA
infliximab,antinuclear antibodies
infliximab,increase of autoantibodies
yohimbine,Severe Raynaud's phenomenon
yohimbine,worsening of Raynaud's phenomenon
vitamin D3,serum level of calcium and urinary excretion of calcium increased
"1,24(OH)2D3",hypercalcemia
thiazide,hypercalcemia
vitamin D3,hypercalcemia
tacalcitol,hypercalcemia
tacalcitol,hypercalciuria
thiazide,hypercalciuria
2-CdA,immunodeficiency
2-CdA,secondary neoplasms
2-Chloro-deoxyadenosine,non-Hodgkin's lymphoma
2-CdA,transformation of MCD to NHL
DGTX,cardiac DGTX toxicity
DGTX,total AV-block
phenytoin,skin lesions
phenytoin,Erythema multiforme
CyA,RSDS
tacrolimus,RSDS
tacrolimus,Reflex sympathetic dystrophy syndrome
Topiramate,acute myopia
Topiramate,angle-closure glaucoma
Topiramate,anterior chamber shallowing
Topiramate,ciliochoroidal effusion
Topiramate,displacement of the lens-iris diaphragm
topiramate,acute-onset myopia
topiramate,angle closure glaucoma
Doxycycline,photo-onycholysis
minocycline,cutaneous hyperpigmentation
minocycline,Pigmentary disorders
minocycline,hyperpigmentation
minocycline,cutaneous pigmentation
Ciprofloxacin,toxic epidermal necrolysis
ciprofloxacin,TEN
amifostine,fever
amifostine,fevers of neutropenia
amifostine,sepsis
pantoprazole,Acute interstitial nephritis
pantoprazole,general malaise
pantoprazole,AIN
omeprazole,AIN
finasteride,anterior subcapsular opacity on the lens
Propecia,bilateral cataract
Propecia,cataract
interferon beta-1a,Scleromyxedema
methylphenidate,fixed drug eruption of the scrotum
methylphenidate,Fixed drug rash
methylphenidate,fixed drug eruption
Methotrexate,pneumonitis
warfarin,haemorrhagic side-effects
warfarin,acute dissecting thoracic aortic aneurysm
Warfarin,thoracic aortic dissection
ramipril,Cutaneous vasculitis
doxorubicin,severe myelopathy
doxorubicin,toxic myelopathy
infliximab,increase in the number of apneic events
infliximab,SaO2 dips
infliximab,sleep disordered breathing
Kayexalate,Hypernatraemia
sodium polystyrene sulphonate,Hypernatraemia
quinacrine,Bull's-eye maculopathy
chloroquine,maculopathy
quinacrine,severe maculopathy
quinacrine,bilaterally symmetric bull's-eye maculopathy
hydroxychloroquine,maculopathy
phenylpropanolamine,Cerebral infarcts
Phenylpropanolamine,neurologic events
PPA,neurologic events
Phenylpropanolamine,stroke
PPA,stroke
PPA,extremely elevated levels of PPA
PPA,occipital infarcts
ciprofloxacin,hallucinations
ciprofloxacin,mild headache
ciprofloxacin,minor dizziness
ciprofloxacin,seizures
Ciprofloxacin,psychosis
ciprofloxacin,severe psychosis
vancomycin,Agranulocytosis
dexamethasone,osteonecrosis
colchicine,Peyronie's disease
colchicine,PD
nitrofurantoin,cholestatic hepatitis
furazolidone,jaundice
nifuroxime,jaundice
phenobarbital,exacerbation of a preexisting maladaptive behavior
phenobarbital,maladaptive behaviors
phenobarbital,behavioral side effects
phenobarbital,exacerbation of preexisting maladaptive behaviors
Pilocarpine,Pilocarpine toxicity
pilocarpine,bradycardia
pilocarpine,mild hypotension
pilocarpine,muscarinic symptoms
belladonna,anticonvulsant hypersensitivity syndrome
ergotamine,anticonvulsant hypersensitivity syndrome
phenobarbital,anticonvulsant hypersensitivity syndrome
Bellamine S,Anticonvulsant hypersensitivity syndrome
belladonna alkaloids,anticonvulsant hypersensitivity syndrome
clozapine,heatstroke
clozapine,Heat stroke
Gemcitabine,radiation recall
gemcitabine,myositis
gemcitabine,radiation recall reactions
bimatoprost,Cystoid macular edema
latanoprost,Cystoid macular edema
bimatoprost,cystoid macula edema
latanoprost,cystoid macula edema
bimatoprost,intense conjunctival hyperemia
latanoprost,intense conjunctival hyperemia
oxaliplatin,hemolytic reaction
oxaliplatin,DAT-positive hemolytic episode
methotrexate,fatal acute neurotoxicity
methotrexate,Fatal acute encephalomyelitis
methotrexate,severe back pain
methotrexate,urinary retention
methotrexate,fatal encephalopathy
methotrexate,mild neurotoxicity
ampicillin,TEN
heparin,large intramural esophageal hematoma
dimethyl sulfoxide,Eosinophilic cystitis
DMSO,eosinophilic cystitis
pegylated interferon alpha,Acute dystonia
IFN-alpha,akathisia
IFN-alpha,depressive disorders
IFN-alpha,neuropsychiatric symptoms
IFN-alpha,Parkinsonism
IFN-alpha,seizure
IFN alpha,restless legs symptoms
interferon-alpha,restless legs symptoms
interferon-alpha,Restless legs syndrome
IFN alpha,Restless legs syndrome
naltrexone,hepatotoxicity
NTX,hepatotoxicity
naltrexone,acute hepatitis B and C
sargramostim,Sweet's syndrome
filgrastim,acute febrile neutrophilic dermatosis
filgrastim,Sweet's syndrome
clozapine,hypersensitivity myocarditis
clozapine,Sudden cardiac death
clozapine,sudden death
phenytoin,purple discoloration
phenytoin,Purple glove syndrome
phenytoin,swelling of the hands
phenytoin,soft-tissue injury
levodopa,completely bald
prostaglandin,trichiasis
prostaglandin,Increased lash length
prostaglandin,pigmentation
BCNU,Fatal pulmonary fibrosis
BCNU,Pulmonary fibrosis
bis-chloronitrosourea,Pulmonary fibrosis
BCNU,severe pulmonary fibrosis
Dorzolamide,choroidal detachment
bimatoprost,Deepening of lid sulcus
bimatoprost,alteration of eyelid appearance
bimatoprost,deepening of the lid sulcus
hepatitis B vaccination,Lichen planus
sulfadoxine-pyrimethamine,life-threatening hypoglycaemia
SP,hypoglycaemic coma
heparin,fatal intracerebral haemorrhage
infliximab,Extensive forearm deep venous thrombosis
infliximab,IIR
infliximab,severe infliximab infusion reaction
infliximab,severe swelling of the forearm and hand ipsilateral
infliximab,hypersensitivity
infliximab,venous thrombosis
indapamide,diabetes
indapamide,glucose tolerance impairing
indapamide,impairing carbohydrate metabolism
fosinopril,diabetes
imatinib mesylate,"discrepancies between hematologic, marrow morphologic, and cytogenetic responses"
imatinib,blast crisis
imatinib,progression of marrow reticulin fibrosis
imatinib mesylate,blast crisis
nimodipine,hypotension
nimodipine,hypoxemia
nimodipine,prolonged hypotension
ciprofloxacin,Refractory hypoglycemia
glyburide,Refractory hypoglycemia
ciprofloxacin,prolonged hypoglycemia
glyburide,prolonged hypoglycemia
Aminophylline,Aminophylline hypersensitivity
ethylenediamine,Aminophylline hypersensitivity
aminophylline,delayed hypersensitivity reaction
ethylenediamine,delayed hypersensitivity reaction
L-asparaginase,lethal complication
L-asparaginase,pancreatitis
L-asparaginase,severe necrotizing pancreatitis
L-asparaginase,necrotizing pancreatitis
Disulfiram,fulminant hepatic failure
Tiagabine,unusual array of neurological symptoms
linezolid,sideroblastic anemia
linezolid,hematologic side effects
prostaglandin E1,harlequin color change
ciprofloxacin,Acute renal insufficiency
Ciprofloxacin,renal insufficiency
ciprofloxacin,nephrotoxicity
infliximab,necrotizing vasculitis
infliximab,Sensory neuropathy
infliximab,peripheral neuropathy
infliximab,progression of preexisting mononeuritis multiplex
interferon-alpha,Progressive anemia
interleukin-2,Progressive anemia
IFN-alpha,severe anemia
IL-2,severe anemia
warfarin,clotting abnormality
warfarin,abnormal hypersensitivity
warfarin,bleeding symptoms
warfarin,fatal haemorrhage
warfarin,hypersensitivity
cidofovir,CMV infection
foscarnet,CMV infection
ganciclovir,CMV infection
5-fluorouracil,peripheral neuropathy
5-FU,peripheral neuropathy
CAP,peripheral neuropathy
CAP,neurotoxicity
CAP,Neurologic symptoms
CAP-XRT,foot drop
CAP-XRT,right leg weakness
CAP,perioral and upper extremity paresthesias
capecitabine,Peripheral neuropathy
rosiglitazone,Severe hypo-alpha-lipoproteinemia
rosiglitazone,reduction in plasma HDL cholesterol and apolipoprotein AI levels
nevirapine,mild hepatotoxicity
nevirapine,Severe leukopenia
nevirapine,leukopenia
nevirapine,skin and hepatic toxicity
quetiapine,death
quetiapine,deaths
quetiapine,suicidal overdose deaths
sertraline,intense itching sensation
fluoxetine,Itch
sertraline,Itch
fluoxetine,skin rash
sertraline,skin rash
etanercept,Pulmonary lymphohistiocytic reactions
etanercept,pulmonary signs and symptoms with alveolar infiltrates
flupirtine,Paradoxical cerebral cortical hyperexcitability
flupirtine,increased cerebral cortical excitability
pegylated interferon alpha-2a,celiac disease
ribavirin,celiac disease
pegylated interferon,Celiac disease
pegylated interferon alpha-2a,anemia
ribavirin,anemia
pegylated interferon alpha-2a,progressive malaise
ribavirin,progressive malaise
metaraminol,anaphylaxis
glatiramer acetate,localized panniculitis
glatiramer acetate,subcutaneous changes
Copaxone,lipoatrophy
glatiramer acetate,lipoatrophy
Copaxone,Localized panniculitis
verapamil,exacerbation in myasthenic weakness
busulfan,hepatic veno-occlusive disease
busulfan,HVOD
busulfan,thrombosis
busulfan,PVT
interferon,Vogt-Koyanagi-Harada disease
interferon alpha,Vogt-Koyanagi-Harada disease
interferon,cotton-wool spots
interferon,Retinal abnormalities
interferon,retinal hemorrhage
propylthiouracil,Acute hepatic failure
PTU,Acute hepatic failure
PTU,fulminant hepatitis
methotrexate,Epstein-Barr virus-associated lymphoproliferative disorder
rofecoxib,Epstein-Barr virus-associated lymphoproliferative disorder
Methotrexate,Epstein-Barr virus (EBV)-associated polyclonal B cell lymphoproliferative disorder
MTX,Epstein-Barr virus (EBV)-associated polyclonal B cell lymphoproliferative disorder
MTX,acute renal failure
MTX,diarrhea
MTX,elevated liver transaminases
MTX,jaundice
MTX,mucosal ulcerations
MTX,pancytopenia
MTX,pyrexia
MTX,vomiting
MTX,EBV-associated lymphoproliferative disease
MTX,hematopoietic toxicity
MTX,immunosuppression
imiquimod,aggravation and spreading of a psoriatic plaque
imiquimod,Psoriasis
imiquimod,large amounts of type I interferon production
imiquimod,exacerbation of psoriasis
methylprednisolone,Vision declined
AZA,allergic skin eruptions
AZA,allergy
azathioprine,Drug eruption
AZA,drug eruption
ziprasidone,Tardive dyskinesia
ziprasidone,TD
Ziprasidone,extrapyramidal symptoms
carbamazepine,Asthenozoospermia
carbamazepine,no motile sperm
retinoic acid,Scrotal ulceration
ATRA,ulcer
ATRA,scrotal ulcer
clozapine,tonic-clonic seizures
clozapine,seizures
rofecoxib,colitis
rofecoxib,lower gastrointestinal symptoms
rofecoxib,IBD
rofecoxib,inflammatory bowel disease
Carbamazepine,Carbamazepine intoxication
Dantrolene,Carbamazepine intoxication
Oxybutynin,Carbamazepine intoxication
Dantrolene,Carbamazepine toxicity
Oxybutynin,Carbamazepine toxicity
captopril,pemphigus
thalidomide,Neuropathy
Thalidomide,proximal weakness
Thalidomide,teratogenic effects
thalidomide,sensorimotor axonal neuropathy
Gliadel,Cerebral edema
carmustine,cerebral edema
Cis-retinoic acid,BMTN
RA,BMTN
RA,deterioration in renal function
Retinoic acid,bone marrow transplant nephropathy
imiquimod,secondary infection
quetiapine,myoclonic jerks
Quetiapine,myoclonus
temozolomide,myelodysplastic syndrome
temozolomide,refractory anemia with excess blasts
TMZ,refractory anemia with excess blasts
penicillin,neutropenia
interferon alpha,Livedo reticularis
interferon alpha 2b,livedo reticularis
PTU,ANCA-associated vasculitis
PTU,ototoxicity
propylthiouracil,antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis
PTU,antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis
propylthiouracil,ototoxicity
Propylthiouracil,antineutrophil cytoplasmic antibodies
Propylthiouracil,sensorineural hearing loss
PTU,hearing impairment in the left ear (with progression to the right ear)
PTU,tinnitus
PTU,vertigo
PTU,hearing impairment
ethambutol,optic neuritis
ethambutol,visual loss
Flucloxacillin,aplastic anaemia
Flucloxacillin,liver failure
flucloxacillin,fatal hepatic injury
flucloxacillin,fulminant hepatic failure
Zoledronic acid,bronchospasm
Zoledronic acid,carpopedal spasm
Zoledronic acid,severe hypocalcaemia
CY,severe lupus erythematosus
cyclophosphamide,severe lupus erythematosus
tacrolimus,Mucosal pigmentation
tacrolimus,pigmentation
tacrolimus,oral mucosa pigmentation
Methotrexate,malignant lymphoma
MTX,malignant lymphoma
Risperidone,tardive dyskinesia
Risperidone,TD
Risperidone,respiratory dyskinesia
risperidone,limb dyskinesia
risperidone,orofacial dyskinesia
risperidone,RD
SDA,RD
BTX-B,parasympathetic dysfunction of the visual system
BTX-B,visual disturbances
botulinum toxin type B,parasympathetic dysfunction
botulinum toxin type B,Visual system side effects
Enalapril,anemia
cerivastatin,muscle pain
cerivastatin,muscle weakness
cerivastatin,rhabdomyolysis
cerivastatin,acute rhabdomyolysis
paclitaxel,hypersensitivity
CBDCA,apnea
CBDCA,cardiac arrest
CBDCA,eruptions
CBDCA,hypotension
CBDCA,severe hypersensitivity reactions
CBDCA,tachycardia
CBDCA,hypersensitivity
cyclosporine,cholestasis
fentanyl,adrenocortical insufficiency
Fluphenazine,neuroleptic malignant syndrome
fluphenazine,NMS
vancomycin,cerebrospinal fluid eosinophilia
vancomycin,CSFE
bicalutamide,interstitial pneumonitis
leuprorelin acetate,interstitial pneumonitis
rifabutin,corneal endothelial deposits
raloxifene,malignant mixed mesodermal tumor
raloxifene,Malignant mixed mullerian tumor of the uterus
MMF,neutropenia
Mycophenolate mofetil,neutropenia
MMF,bone marrow toxicity
anti-D IGIV,acute hemoglobinemia
anti-D IGIV,hemoglobinuria
Rh(0)(D) immune globulin,acute hemoglobinemia
Rh(0)(D) immune globulin,Disseminated intravascular coagulation
Rh(0)(D) immune globulin,hemoglobinuria
anti-D IGIV,DIC
anti-D IGIV,disseminated intravascular coagulation
anti-D IGIV,hemoglobinemia
infliximab,severe transient neutropenia
infliximab,agranulocytosis
infliximab,autoimmune agranulocytosis
infliximab,production of granulocyte and neutrophil autoantibodies
linezolid,bone marrow depression
linezolid,neuropathy
linezolid,peripheral neuropathy
tamoxifen,high-grade endometrial stromal sarcoma
tamoxifen,intrauterine polypoid growth
tamoxifen,endometrial adenocarcinoma
tamoxifen,uterine sarcoma
pentamidine,heart rate had decreased
pentamidine,cardiotoxicity
pentamidine,second-degree heart block
pentamidine,sinus bradycardia
bupropion,Falling backward
vigabatrin,Ophthalmologic and neurologic findings
VGB,visual dysfunction
Vigabatrin,visual field defects
VGB,ophthalmic and neurologic findings
IFN,cotton wool spots
Interferon,cotton wool spots
IFN,retinal hemorrhages
Interferon,retinal hemorrhages
IFN,retinopathy
Interferon,retinopathy
interferon,macular edema
IFN,decreased vision
IFN,macular edema
IFN,hypoalbuminemia
IFN,ocular side effects
IFN,thrombocytopenia
IFN,visual acuity had decreased
IFN,reduced visual acuity
interferon-alfa,diabetes mellitus
ribavirin,diabetes mellitus
alfa-interferon,immune-mediated diabetes mellitus
interferon alfa,Cutaneous necrosis
pegylated interferon alfa-2b,local cutaneous reactions
ribavirin,local cutaneous reactions
pegylated interferon alfa-2b,cutaneous necrosis
tegaserod,ischemic colitis
tegaserod,irritable bowel syndrome
lansoprazole,"chronic, watery diarrhea"
Lansoprazole,collagenous colitis
interferon beta-1b,painful ulcers
interferon beta-1b,reticulate erythema
recombinant human interferon-beta-1b,Abdominal wall ulceration
recombinant human interferon-beta-1b,mucinosis
Itraconazole,vincristine neurotoxicity
itraconazole,neurotoxicity
vincristine,neurotoxicity
itraconazole,absence of deep reflexes
itraconazole,mild left ptosis
itraconazole,mild weakness of the upper extremities
itraconazole,neurogenic bladder
itraconazole,paralytic ileus
itraconazole,severe paralysis of the lower extremities
itraconazole,fatal toxicities
vincristine,fatal toxicities
pseudoephedrine,intracerebral hemorrhage
phenylpropanolamine,intracerebral hemorrhage
Pseudoephedrine,cerebral vascular malformation
Pseudoephedrine,hemorrhage
quetiapine,diabetic ketoacidosis
quetiapine,DKA
quetiapine,DM
all-trans retinoic acid,Pulmonary leukostasis
imiquimod,Eruptive epidermoid cysts
imiquimod,verrucous plaque
imiquimod,multiple comedones
imiquimod,ruptured epidermoid cysts
fluoxetine,neurological and cardiovascular toxicity
iron sucrose,Hepatocellular damage
iron sucrose,systemic iron toxicity
clioquinol,acute amnestic episode
clioquinol,retrograde amnesia
clioquinol,transient global amnesia
sodium hyaluronate,Neisseria mucosa knee arthritis
corticosteroids,Staphylococcus aureus knee arthritis
sodium hyaluronate,Staphylococcus aureus knee arthritis
hyaluronate,Septic knee arthritis
lamivudine,Acute dystonia
lamivudine,ADR
lamivudine,acute dystonic reactions
lamivudine,ADRs
pergolide,Pleuropulmonary fibrosis
risperidone,psychiatric and physical manifestations
risperidone,increased mood symptoms
Risperidone,depression
Risperidone,psychosis
busulfan,Fatal radiation myelopathy
melphalan,Fatal radiation myelopathy
Gemcitabine,pericardial effusion
Gemcitabine,tamponade
gemcitabine,radiation recall reaction
MM,CNS lymphoma
MM,lymphoproliferative disorders
mycophenolate mofetil,CNS lymphoma
Baclofen,fever
Baclofen,withdrawal syndrome
baclofen,autonomic instability
captopril,eosinophilia
captopril,radiographic abnormalities
Captopril,pulmonary infiltrates with eosinophilia
propofol,pancreatitis
propofol,acute pancreatitis
lithium,focal seizure
lithium,prolonged seizure
lithium,serotonin syndrome
rituximab,CD20-negative T-cell-rich B-cell lymphoma
Rituximab,CD20-negative tumors
irbesartan,angio-oedema
irbesartan,hypotensive shock
irbesartan,shock
desferrioxamine,congestive heart failure
desferrioxamine,haemosiderosis
desferrioxamine,liver failure
desferrioxamine,Transfusion haemosiderosis
triamcinolone,cataract
triamcinolone,Severe loss of vision
ritodrine hydrochloride,Rhabdomyolysis
ritodrine-hydrochloride,rhabdomyolysis
epinephrine,Acute myocardial ischemia
epinephrine,lethal complications
epinephrine,severe allergic reaction
levodopa,restless legs syndrome
levodopa,augmentation
levodopa,anarchic discharges of motor unit potentials
levodopa,flexor spasms
levodopa,marked motor hyperactivity
levodopa,painful dysesthesia
levodopa,tonic grouped discharges
infliximab,infection
infliximab,membranous nephropathy
Linezolid,dyserythropoiesis
linezolid,dyserythropoietic anaemia
chloramphenicol,myelotoxicity
fluoxetine,eye movements in nonrapid eye movement (NREM) sleep
fluoxetine,RBD
fluoxetine,Prominent eye movements during NREM sleep
fluoxetine,REM sleep behavior disorder
dofetilide,increase in the QT interval
dofetilide,torsades de pointes
dofetilide,acute ischemia
dofetilide,Marked QT prolongation
dofetilide,acute myocardial ischemia
dofetilide,flash pulmonary edema
dofetilide,QT prolongation
phenylephrine,positive U waves
SRL,Hepatoxicity
Sirolimus,hepatotoxicity
interferon beta 1a,nephrotic syndrome
interferon,nephrosis
interferons,renal toxicity
Capecitabine,multifocal leukoencephalopathy
venlafaxine,UI
venlafaxine,urinary incontinence
alpha interferon,hypothyroidism
recombinant alpha interferon,Sustained hypothyroidism
recombinant alpha interferon,Thyroid dysfunction
recombinant alpha interferon,hypothyroidism
vardenafil,Atrial fibrillation
vardenafil,symptomatic paroxysmal atrial fibrillation
infliximab,Mycobacterium abscessus
Interferon alpha-2b,cardiomyopathy
interferon alpha,Reversible cardiomyopathy
senna,liver injury
senna,subacute cholestatic hepatitis
senna,cholestatic hepatitis
insulin,lipohypertrophy
azathioprine,diabetes mellitus
prednisone,diabetes mellitus
azathioprine,exocrine pancreatic insufficiency
prednisone,exocrine pancreatic insufficiency
penicillin,JHR
penicillin G,JHR
Penicillin,Jarisch-Herxheimer reaction
penicillin,chills
penicillin,feeling cold
penicillin,worsening headache
rituximab,Acute respiratory distress syndrome
gemtuzumab ozogamicin,ARDS
infliximab,ARDS
OKT3,ARDS
rituximab,ARDS
rituximab,severe pulmonary symptoms
rituximab,Dyspnea
rituximab,hypoxemia
rituximab,pleuritic chest pain
rituximab,Progressive hypoxemia
bisphosphonate,renal impairment
bisphosphonate,Symptomatic hypocalcaemia
bisphosphonate,severe hypocalcaemia
gemcitabine,gastrointestinal bleeding
gemcitabine,radiation-recall
methotrexate,acute renal failure
Methotrexate,nephropathy
calcium hydroxylapatite,prolapse of the urethral mucosa
calcium hydroxylapatite,granulomatous reaction
calcium hydroxylapatite,urethral prolapse
