true_label,true_sent,pred_label,pres_sent
0,Animal models of Central Diabetes Insipidus: Human relevance of acquired beyond hereditary syndromes and the role of oxytocin.,0,Animal models of Central Diabetes Insipidus: Human relevance of acquired beyond hereditary syndromes and the role of oxytocin.
0,Central diabetes insipidus: beware of Langerhans cell histiocytosis!,1,Central diabetes insipidus: beware of Langerhans cell histiocytosis!
0,A challenging coexistence of central diabetes insipidus and cerebral salt wasting syndrome: a case report.,1,A challenging coexistence of central diabetes insipidus and cerebral salt wasting syndrome: a case report.
0,Identification of a novel X-linked arginine-vasopressin receptor 2 mutation in nephrogenic diabetes insipidus: Case report and pedigree analysis.,1,Identification of a novel X-linked arginine-vasopressin receptor 2 mutation in nephrogenic diabetes insipidus: Case report and pedigree analysis.
1,[Clinical observation of 5 cases of diabetes insipidus complicated with skeletal fluorosis].,0,[Clinical observation of 5 cases of diabetes insipidus complicated with skeletal fluorosis].
0,Juvenile-onset gout and adipsic diabetes insipidus: A case report and literature review.,1,Juvenile-onset gout and adipsic diabetes insipidus: A case report and literature review.
0,Congenital central diabetes insipidus and optic atrophy in a Wolfram newborn: is there a role for WFS1 gene in neurodevelopment?,1,Congenital central diabetes insipidus and optic atrophy in a Wolfram newborn: is there a role for WFS1 gene in neurodevelopment?
0,Diabetes Insipidus After Discontinuation of Vasopressin Infusion for Treatment of Shock.,1,Diabetes Insipidus After Discontinuation of Vasopressin Infusion for Treatment of Shock.
1,Polyuria with the Concurrent manifestation of Central Diabetes Insipidus (CDI) & Type 2 Diabetes Mellitus (DM).,1,Polyuria with the Concurrent manifestation of Central Diabetes Insipidus (CDI) & Type 2 Diabetes Mellitus (DM).
0,ADIPSIC DIABETES INSIPIDUS: A REVIEW.,0,ADIPSIC DIABETES INSIPIDUS: A REVIEW.
1,[Influence of preventive use of vasopressin tannate on diabetes insipidus and serum sodium at the early postoperation of craniopharyngioma].,1,[Influence of preventive use of vasopressin tannate on diabetes insipidus and serum sodium at the early postoperation of craniopharyngioma].
1,A history of diabetes insipidus: paving the road to internal water balance.,1,A history of diabetes insipidus: paving the road to internal water balance.
0,Management of diabetes insipidus and adipsia in the child.,0,Management of diabetes insipidus and adipsia in the child.
1,Effect of Preserving the Pituitary Stalk During Resection of Craniopharyngioma in Children on the Diabetes Insipidus and Relapse Rates and Long-Term Outcomes.,1,Effect of Preserving the Pituitary Stalk During Resection of Craniopharyngioma in Children on the Diabetes Insipidus and Relapse Rates and Long-Term Outcomes.
0,Adipsic diabetes insipidus secondary to craniopharyngioma resection.,0,Adipsic diabetes insipidus secondary to craniopharyngioma resection.
0,Ketamine-Induced Diabetes Insipidus.,0,Ketamine-Induced Diabetes Insipidus.
1,Double Trouble - Severe Hypernatremia Secondary to Central Diabetes Insipidus Complicated by Hypercalcemic Nephrogenic Diabetes Insipidus: A Case Report.,1,Double Trouble - Severe Hypernatremia Secondary to Central Diabetes Insipidus Complicated by Hypercalcemic Nephrogenic Diabetes Insipidus: A Case Report.
0,Diabetes insipidus: celebrating a century of vasopressin therapy.,0,Diabetes insipidus: celebrating a century of vasopressin therapy.
0,Methotrexate-associated lymphoproliferative disorder with hypopituitarism and central diabetes insipidus.,1,Methotrexate-associated lymphoproliferative disorder with hypopituitarism and central diabetes insipidus.
0,"ISCHEMIC PITUITARY APOPLEXY, HYPOPITUITARISM AND DIABETES INSIPIDUS: A TRIAD UNIQUE TO NECROTIZING HYPOPHYSITIS.",0,"ISCHEMIC PITUITARY APOPLEXY, HYPOPITUITARISM AND DIABETES INSIPIDUS: A TRIAD UNIQUE TO NECROTIZING HYPOPHYSITIS."
1,Long-Term Follow-up of a Case with Proprotein Convertase 1/3 Deficiency: Transient Diabetes Mellitus with Intervening Diabetic Ketoacidosis During Growth Hormone Therapy.,1,Long-Term Follow-up of a Case with Proprotein Convertase 1/3 Deficiency: Transient Diabetes Mellitus with Intervening Diabetic Ketoacidosis During Growth Hormone Therapy.
1,Hemorrhagic fever with renal syndrome accompanied by panhypopituitarism and central diabetes insipidus: a case report.,0,Hemorrhagic fever with renal syndrome accompanied by panhypopituitarism and central diabetes insipidus: a case report.
0,Diabetes insipidus: Differential diagnosis and management.,0,Diabetes insipidus: Differential diagnosis and management.
0,Gestational diabetes insipidus.,0,Gestational diabetes insipidus.
0,Bendamustine-Induced Nephrogenic Diabetes Insipidus in a Patient With AL Amyloidosis.,1,Bendamustine-Induced Nephrogenic Diabetes Insipidus in a Patient With AL Amyloidosis.
0,Adipsic diabetes insipidus in adult patients.,0,Adipsic diabetes insipidus in adult patients.
0,"Exacerbation of pre-existing diabetes insipidus during pregnancy, mechanisms and management.",0,"Exacerbation of pre-existing diabetes insipidus during pregnancy, mechanisms and management."
1,Early central diabetes insipidus: An ominous sign in post-cardiac arrest patients.,1,Early central diabetes insipidus: An ominous sign in post-cardiac arrest patients.
0,[Clinical characteristics of central diabetes insipidus: a retrospective analysis of 230 cases].,0,[Clinical characteristics of central diabetes insipidus: a retrospective analysis of 230 cases].
1,Cardiovascular autonomic dysfunction in patients with idiopathic diabetes insipidus.,1,Cardiovascular autonomic dysfunction in patients with idiopathic diabetes insipidus.
0,Transient Diabetes Insipidus Following Organophosphorus Poisoning.,1,Transient Diabetes Insipidus Following Organophosphorus Poisoning.
0,Nephrogenic Diabetes Insipidus.,0,Nephrogenic Diabetes Insipidus.
0,Bilateral Ossified Chronic Subdural Hematoma Presenting as Diabetes Insipidus-Case Report and Literature Review.,0,Bilateral Ossified Chronic Subdural Hematoma Presenting as Diabetes Insipidus-Case Report and Literature Review.
0,Hereditary Nephrogenic Diabetes Insipidus: Pathophysiology and Possible Treatment. An Update.,1,Hereditary Nephrogenic Diabetes Insipidus: Pathophysiology and Possible Treatment. An Update.
0,Acute myeloid leukemia with central diabetes insipidus.,0,Acute myeloid leukemia with central diabetes insipidus.
1,The soluble (Pro) renin receptor does not influence lithium-induced diabetes insipidus but does provoke beiging of white adipose tissue in mice.,1,The soluble (Pro) renin receptor does not influence lithium-induced diabetes insipidus but does provoke beiging of white adipose tissue in mice.
1,Transient Diabetes Insipidus After Discontinuation of Vasopressin in Neurological Intensive Care Unit Patients: Case Series and Literature Review.,1,Transient Diabetes Insipidus After Discontinuation of Vasopressin in Neurological Intensive Care Unit Patients: Case Series and Literature Review.
1,A novel AVPR2 splice site mutation leads to partial X-linked nephrogenic diabetes insipidus in two brothers.,1,A novel AVPR2 splice site mutation leads to partial X-linked nephrogenic diabetes insipidus in two brothers.
0,Diabetes insipidus-like state complicating percutaneous transluminal renal stenting for transplant renal artery stenosis.,1,Diabetes insipidus-like state complicating percutaneous transluminal renal stenting for transplant renal artery stenosis.
0,Nephrogenic Diabetes Insipidus.,0,Nephrogenic Diabetes Insipidus.
1,Central diabetes insipidus: A rare complication of IVH in a very low birth weight preterm infant.,0,Central diabetes insipidus: A rare complication of IVH in a very low birth weight preterm infant.
0,For Debate: Personalized Health Care: As Exemplified by Home Sodium Measurements in a Child with Central Diabetes Insipidus and Impaired Thirst Perception.,0,For Debate: Personalized Health Care: As Exemplified by Home Sodium Measurements in a Child with Central Diabetes Insipidus and Impaired Thirst Perception.
0,Outcome of diabetes insipidus in patients with Rathke's cleft cysts.,1,Outcome of diabetes insipidus in patients with Rathke's cleft cysts.
1,Chemical chaperone 4-phenylbutylate reduces mutant protein accumulation in the endoplasmic reticulum of arginine vasopressin neurons in a mouse model for familial neurohypophysial diabetes insipidus.,1,Chemical chaperone 4-phenylbutylate reduces mutant protein accumulation in the endoplasmic reticulum of arginine vasopressin neurons in a mouse model for familial neurohypophysial diabetes insipidus.
1,Diagnosis and Management of Combined Central Diabetes Insipidus and Cerebral Salt Wasting Syndrome After Traumatic Brain Injury.,1,Diagnosis and Management of Combined Central Diabetes Insipidus and Cerebral Salt Wasting Syndrome After Traumatic Brain Injury.
1,ADHD symptoms in a young patient with central diabetes insipidus.,1,ADHD symptoms in a young patient with central diabetes insipidus.
1,A novel detrimental homozygous mutation in the WFS1 gene in two sisters from nonconsanguineous parents with untreated diabetes insipidus.,1,A novel detrimental homozygous mutation in the WFS1 gene in two sisters from nonconsanguineous parents with untreated diabetes insipidus.
0,The clinical pattern of diabetes Insipidus in a large university hospital in the Middle East.,0,The clinical pattern of diabetes Insipidus in a large university hospital in the Middle East.
1,A Novel Mutation in the <i>AVPR2</i> Gene Causing Congenital Nephrogenic Diabetes Insipidus,1,A Novel Mutation in the <i>AVPR2</i> Gene Causing Congenital Nephrogenic Diabetes Insipidus
1,Delayed Occurrence of Diabetes Insipidus After Transsphenoidal Surgery with Radiologic Evaluation of the Pituitary Stalk on Magnetic Resonance Imaging.,1,Delayed Occurrence of Diabetes Insipidus After Transsphenoidal Surgery with Radiologic Evaluation of the Pituitary Stalk on Magnetic Resonance Imaging.
0,Diabetes insipidus.,0,Diabetes insipidus.
0,Novel mutations associated with nephrogenic diabetes insipidus. A clinical-genetic study.,1,Novel mutations associated with nephrogenic diabetes insipidus. A clinical-genetic study.
0,Intracranial pathologies associated with central diabetes insipidus in infants.,1,Intracranial pathologies associated with central diabetes insipidus in infants.
0,"Dengue fever with diffuse cerebral hemorrhages, subdural hematoma and cranial diabetes insipidus.",0,"Dengue fever with diffuse cerebral hemorrhages, subdural hematoma and cranial diabetes insipidus."
0,Post-hemorrhagic hydrocephalus and diabetes insipidus in preterm infants.,0,Post-hemorrhagic hydrocephalus and diabetes insipidus in preterm infants.
0,[New Diagnostic Standard in Diabetes Insipidus].,0,[New Diagnostic Standard in Diabetes Insipidus].
0,[Alobar holoprosencephaly associated with diabetes insipidus and hypothyroidism in a 10-month old infant].,1,[Alobar holoprosencephaly associated with diabetes insipidus and hypothyroidism in a 10-month old infant].
1,Manifestation of Central Diabetes Insipidus in a Patient with Thyroid Storm.,1,Manifestation of Central Diabetes Insipidus in a Patient with Thyroid Storm.
0,Atorvastatin in the treatment of Lithium-induced nephrogenic diabetes insipidus: the protocol of a randomized controlled trial.,1,Atorvastatin in the treatment of Lithium-induced nephrogenic diabetes insipidus: the protocol of a randomized controlled trial.
0,Value of Renal Biopsy in Diagnosing Infantile Nephropathic Cystinosis Associated With Secondary Nephrogenic Diabetes Insipidus.,1,Value of Renal Biopsy in Diagnosing Infantile Nephropathic Cystinosis Associated With Secondary Nephrogenic Diabetes Insipidus.
1,Erdheim-chester disease revealed by diabetes insipidus.,1,Erdheim-chester disease revealed by diabetes insipidus.
1,"Resolved heart tamponade and controlled exophthalmos, facial pain and diabetes insipidus due to Erdheim-Chester disease.",1,"Resolved heart tamponade and controlled exophthalmos, facial pain and diabetes insipidus due to Erdheim-Chester disease."
0,Overlap of Post-obstructive Diuresis and Unmasked Diabetes Insipidus in a Case of IgG4-related Retroperitoneal Fibrosis and Tuberoinfundibular Hypophysitis: A Case Report and Review of the Literature.,1,Overlap of Post-obstructive Diuresis and Unmasked Diabetes Insipidus in a Case of IgG4-related Retroperitoneal Fibrosis and Tuberoinfundibular Hypophysitis: A Case Report and Review of the Literature.
0,Central diabetes insipidus unmasked by corticosteroid therapy for cerebral metastases: beware the case with pituitary involvement and hypopituitarism.,1,Central diabetes insipidus unmasked by corticosteroid therapy for cerebral metastases: beware the case with pituitary involvement and hypopituitarism.
1,Temporary diabetes insipidus in 2 men after on-pump coronary artery bypass grafting.,1,Temporary diabetes insipidus in 2 men after on-pump coronary artery bypass grafting.
1,Xanthomatous Hypophysitis Presenting with Diabetes Insipidus Completely Cured Through Transsphenoidal Surgery: Case Report and Literature Review.,1,Xanthomatous Hypophysitis Presenting with Diabetes Insipidus Completely Cured Through Transsphenoidal Surgery: Case Report and Literature Review.
0,Central diabetes insipidus: clinical profile that suggests organicity in Peruvian children: Lima - Peru 2001-2013.,1,Central diabetes insipidus: clinical profile that suggests organicity in Peruvian children: Lima - Peru 2001-2013.
0,[Etiological diagnosis of central diabetes insipidus: about 41 cases].,0,[Etiological diagnosis of central diabetes insipidus: about 41 cases].
1,Maternal rhabdomyolysis and twin fetal death associated with gestational diabetes insipidus.,1,Maternal rhabdomyolysis and twin fetal death associated with gestational diabetes insipidus.
1,Permanent Central Diabetes Insipidus as a Complication of S. pneumoniae Meningitis in the Pediatric Population.,1,Permanent Central Diabetes Insipidus as a Complication of S. pneumoniae Meningitis in the Pediatric Population.
1,[Granulomatosis with polyangiitis manifested as diabetes insipidus].,0,[Granulomatosis with polyangiitis manifested as diabetes insipidus].
0,Clinical Predictors of Diabetes Insipidus After Transcranial Surgery for Pituitary Adenoma.,,
1,Opioid-induced hyponatremia in a patient with central diabetes insipidus: independence from ADH.,,
1,The Novel Ser18del AVP Variant Causes Inherited Neurohypophyseal Diabetes Insipidus by Mechanisms Shared with Other Signal Peptide Variants.,,
1,[A Case of Central Diabetes Insipidus That Was Caused by Pituitary Metastasis of Lung Adenocarcinoma and Was Controlled by Radiation Therapy].,,
0,'If there were water we should stop and drink': neurofibromatosis presenting with diabetes insipidus.,,
0,CENTRAL DIABETES INSIPIDUS: CLINICAL CHARACTERISTICS AND LONG-TERM COURSE IN A LARGE COHORT OF ADULTS.,,
1,Functional characterization of AVPR2 mutants found in Turkish patients with nephrogenic diabetes insipidus.,,
0,A case of gestational central diabetes insipidus with oligohydramnios.,,
0,[Diabetes insipidus].,,
1,[The efficacy of desmopressin in the treatment of central diabetes insipidus after resection of chiasmo-sellar region tumors].,,
0,Ifosfamide-induced Fanconi syndrome with diabetes insipidus.,,
0,Copeptin and its role in the diagnosis of diabetes insipidus and the syndrome of inappropriate antidiuresis.,,
0,A novel mechanism of autophagy-associated cell death of vasopressin neurons in familial neurohypophysial diabetes insipidus.,,
0,Prediction of postoperative diabetes insipidus using morphological hyperintensity patterns in the pituitary stalk on magnetic resonance imaging after transsphenoidal surgery for sellar tumors.,,
0,Genetic forms of nephrogenic diabetes insipidus (NDI): Vasopressin receptor defect (X-linked) and aquaporin defect (autosomal recessive and dominant).,,
0,A novel AVP gene mutation in a Turkish family with neurohypophyseal diabetes insipidus.,,
1,Cooperative mechanisms involved in chronic antidiuretic response to bendroflumethiazide in rats with lithium-induced nephrogenic diabetes insipidus.,,
1,Diabetes insipidus as a rare cause of acute cognitive impairment in multiple sclerosis.,,
0,Severe congenital nephrogenic diabetes insipidus in a compound heterozygote with a new large deletion of the AQP2 gene. A case report.,,
0,Transient Diabetes Insipidus Following Thermal Burn; A Case Report and Literature Review.,,
0,"Lithium treatment, nephrogenic diabetes insipidus and the risk of hypernatraemia: a retrospective cohort study.",,
1,Tamoxifen attenuates development of lithium-induced nephrogenic diabetes insipidus in rats.,,
1,Early-Onset Central Diabetes Insipidus due to Compound Heterozygosity for AVP Mutations.,,
0,Central diabetes insipidus in pediatric patients with Langerhans cell histiocytosis: Results from the JLSG-96/02 studies.,,
1,AKAPs-PKA disruptors increase AQP2 activity independently of vasopressin in a model of nephrogenic diabetes insipidus.,,
0,Nephrogenic diabetes insipidus after esophagectomy in a patient with remote history of lithium treatment: A case report.,,
0,Diabetes insipidus during pregnancy.,,
0,Diabetes insipidus after discontinuation of vasopressin infusion for septic shock.,,
0,Use of acetazolamide in lithium-induced nephrogenic diabetes insipidus: a case report.,,
0,Idiopathic central diabetes insipidus in an extreme premature infant: A case report.,,
0,Xanthoma Disseminatum in a Young Patient with Diabetes Insipidus.,,
0,"Neuroimaging of central diabetes insipidus-when, how and findings.",,
0,Physiological insights into novel therapies for nephrogenic diabetes insipidus.,,
0,False diagnosis of type 1 diabetes mellitus and its complications in Wolfram syndrome--is it the reason for the low number of reported cases of this abnormality?,,
0,Clinical guidelines for management of diabetes insipidus and syndrome of inappropriate antidiuretic hormone secretion after pituitary surgery.,,
1,A novel mutation in the AVPR2 gene (222delA) associated with X-linked nephrogenic diabetes insipidus in a boy with growth failure.,,
0,A rat model for pituitary stalk electric lesion-induced central diabetes insipidus: application of 3D printing and further outcome assessments.,,
0,Recovery from diabetes insipidus and preservation of thyroid function after craniopharyngioma removal and pituitary stalk sectioning.,,
0,A novel AVPR2 gene mutation of X-linked congenital nephrogenic diabetes insipidus in an Asian pedigree.,,
0,Central Diabetes Insipidus in Refractory Antineutrophil Cytoplasmic Antibody-associated Vasculitis.,,
0,Activation of AQP2 water channels without vasopressin: therapeutic strategies for congenital nephrogenic diabetes insipidus.,,
1,Predictor Variables of Developing Anterior Pituitary Deficiencies in a Group of Paediatric Patients with Central Diabetes Insipidus and Langerhans Cell Histiocytosis.,,
0,Oral administration of diluted nasal desmopressin in managing neonatal central diabetes insipidus.,,
0,Evaluation of electrocardiographic parameters in patients with diabetes insipidus.,,
0,A novel AVPR2 missense mutation in an Asian family with inherited nephrogenic diabetes insipidus: A case report.,,
0,Autoimmune central diabetes insipidus in a patient with ureaplasma urealyticum infection and review on new triggers of immune response.,,
1,Contiguous 22.1-kb deletion embracing AVPR2 and ARHGAP4 genes at novel breakpoints leads to nephrogenic diabetes insipidus in a Chinese pedigree.,,
0,Central Diabetes Insipidus and Cisplatin-Induced Renal Salt Wasting Syndrome: A Challenging Combination.,,
0,V2R mutations and nephrogenic diabetes insipidus.,,
0,Diabetes insipidus--diagnosis and management.,,
0,Diabetes Insipidus Presenting with Oligohydramnios and Polyuria During Pregnancy.,,
0,"Brain Death in Children: Incidence, Donation Rates, and the Occurrence of Central Diabetes Insipidus.",,
1,[Thickening of the pituitary stalk in children and adolescents with central diabetes insipidus: Causes and consequences].,,
0,[Vasopressin V2 receptor-related pathologies: congenital nephrogenic diabetes insipidus and nephrogenic syndrome of inappropiate antidiuresis].,,
1,A Novel Synonymous Variant in the AVP Gene Associated with Autosomal Dominant Familial Neurohypophyseal Diabetes Insipidus Causes Partial RNA Missplicing.,,
0,Gestational diabetes insipidus. Case Report.,,
0,Acute presentation of gestational diabetes insipidus with pre-eclampsia complicated by cerebral vasoconstriction: a case report and review of the published work.,,
0,"Pathophysiology, diagnosis and management of nephrogenic diabetes insipidus.",,
0,Objective assessment of thirst recovery in patients with adipsic diabetes insipidus.,,
1,Central diabetes insipidus: a previously unreported side effect of temozolomide.,,
0,Adipsic diabetes insipidus in pediatric patients.,,
0,Central Diabetes Insipidus in an Off-pump Coronary Artery Bypass Grafting Surgery.,,
0,[Importance of long-term follow-up of diabetes insipidus; from lymphocytic hypophysitis to germinoma].,,
0,Postoperative Diabetes Insipidus and Hyponatremia in Children after Transsphenoidal Surgery for Adrenocorticotropin Hormone and Growth Hormone Secreting Adenomas.,,
0,Central Diabetes Insipidus in an Infant with Pneumococcal Meningitis.,,
0,Diabetes insipidus secondary to tuberculous meningoencephalitis with hypothalamic involvement extending to the hypophysis: a case report.,,
0,A case of myeloperoxidase anti-neutrophil cytoplasmic antibody (MPO-ANCA)-associated hypertrophic pachymeningitis presenting with multiple cranial nerve palsies and diabetes insipidus.,,
1,Cerebral tuberculomas in a 6-year-old girl causing central diabetes insipidus.,,
0,Genetics and diagnosis of central diabetes insipidus.,,
0,Adipsic Diabetes Insipidus-The Challenging Combination of Polyuria and Adipsia: A Case Report and Review of Literature.,,
0,Quality of life in the patients with central diabetes insipidus assessed by Nagasaki Diabetes Insipidus Questionnaire.,,
0,[Transient central diabetes insipidus associated with pregnancy. Case report and bibliography review].,,
0,P2Y12 Receptor Localizes in the Renal Collecting Duct and Its Blockade Augments Arginine Vasopressin Action and Alleviates Nephrogenic Diabetes Insipidus.,,
1,"Clinical presentation and outcome of children with central diabetes insipidus associated with a self-limited or transient pituitary stalk thickening, diagnosed as infundibuloneurohypophysitis.",,
0,A Rare Case of Congenital Diabetes Insipidus.,,
1,Undiagnosed nephrogenic diabetes insipidus as a cause of acute urinary retention in a young soldier.,,
0,Central diabetes insipidus associated with refeeding in anorexia nervosa: A case report.,,
0,Adipsic diabetes insipidus and venous thromboembolism (VTE): recommendations for addressing its hypercoagulability.,,
1,"Hypothalamic relapse of a cardiac large B-cell lymphoma presenting with memory loss, confabulation, alexia-agraphia, apathy, hypersomnia, appetite disturbances and diabetes insipidus.",,
0,Familial forms of diabetes insipidus: clinical and molecular characteristics.,,
0,Two novel mutations in seven Czech and Slovak kindreds with familial neurohypophyseal diabetes insipidus-benefit of genetic testing.,,
1,Prevalence and risk factors for central diabetes insipidus in cardiac arrest survivor treated with targeted temperature management.,,
0,[Congenital nephrogenic diabetes insipidus: about a case report].,,
1,Functional ectopic neural lobe increases GAP-43 expression via PI3K/AKT pathways to alleviate central diabetes insipidus after pituitary stalk lesion in rats.,,
0,Central diabetes insipidus in pediatric severe traumatic brain injury.,,
0,Pulmonary Langerhans cell histiocytosis and diabetes insipidus in pregnant women: our experience.,,
0,"Microvascular diabetes complications in Wolfram syndrome (diabetes insipidus, diabetes mellitus, optic atrophy, and deafness [DIDMOAD]): an age- and duration-matched comparison with common type 1 diabetes.",,
0,A case of central diabetes insipidus after ketamine infusion during an external to internal carotid artery bypass.,,
1,Risk of diabetes insipidus after pituitary surgery.,,
0,Enteroviral Meningoencephalitis Complicated by Central Diabetes Insipidus in a Neonate: A Case Report and Review of the Literature.,,
0,"Mutations in the AVPR2, AVP-NPII, and AQP2 genes in Turkish patients with diabetes insipidus.",,
0,Hereditary Neurohypophyseal Diabetes Insipidus.,,
0,"Case report of severe Cushing's syndrome in medullary thyroid cancer complicated by functional diabetes insipidus, aortic dissection, jejunal intussusception, and paraneoplastic dysautonomia: remission with sorafenib without reduction in cortisol concentration.",,
0,Heterogenous patterns of recovery of thirst in adult patients with adipsic diabetes insipidus.,,
1,Permanent central diabetes insipidus after mild head injury.,,
0,"The spectrum of clinical presentation, diagnosis, and management of mitochondrial forms of diabetes.",,
0,Bilateral optic neuropathy with central diabetes insipidus in a child.,,
0,Congenital nephrogenic diabetes insipidus with end-stage renal disease.,,
0,Pulmonary langerhans cell histiocytosis case with diabetes insipidus and tuberculosis.,,
1,Spontaneous intermittent MRI changes of a pituitary stalk lesion causing diabetes insipidus and amenorrhea.,,
,,,
0,Blood Pressure Variability and Progression of Clinical Alzheimer Disease.,0,Blood Pressure Variability and Progression of Clinical Alzheimer Disease.
1,Nilvadipine in mild to moderate Alzheimer disease: A randomised controlled trial.,1,Nilvadipine in mild to moderate Alzheimer disease: A randomised controlled trial.
0,Compensatory Shift of Subcallosal Area and Paraterminal Gyrus White Matter Parameters on DTI in Patients with Alzheimer Disease.,1,Compensatory Shift of Subcallosal Area and Paraterminal Gyrus White Matter Parameters on DTI in Patients with Alzheimer Disease.
0,Accuracy and generalization capability of an automatic method for the detection of typical brain hypometabolism in prodromal Alzheimer disease.,1,Accuracy and generalization capability of an automatic method for the detection of typical brain hypometabolism in prodromal Alzheimer disease.
1,Effects of Nilvadipine on Cerebral Blood Flow in Patients With Alzheimer Disease.,1,Effects of Nilvadipine on Cerebral Blood Flow in Patients With Alzheimer Disease.
1,"Utility of combinations of biomarkers, cognitive markers, and risk factors to predict conversion from mild cognitive impairment to Alzheimer disease in patients in the Alzheimer's disease neuroimaging initiative.",0,"Utility of combinations of biomarkers, cognitive markers, and risk factors to predict conversion from mild cognitive impairment to Alzheimer disease in patients in the Alzheimer's disease neuroimaging initiative."
0,<sup>1</sup>H MRS spectroscopy in preclinical autosomal dominant Alzheimer disease.,0,<sup>1</sup>H MRS spectroscopy in preclinical autosomal dominant Alzheimer disease.
0,Tracking early decline in cognitive function in older individuals at risk for Alzheimer disease dementia: the Alzheimer's Disease Cooperative Study Cognitive Function Instrument.,1,Tracking early decline in cognitive function in older individuals at risk for Alzheimer disease dementia: the Alzheimer's Disease Cooperative Study Cognitive Function Instrument.
1,Alzheimer Disease Signature Neurodegeneration and APOE Genotype in Mild Cognitive Impairment With Suspected Non-Alzheimer Disease Pathophysiology.,0,Alzheimer Disease Signature Neurodegeneration and APOE Genotype in Mild Cognitive Impairment With Suspected Non-Alzheimer Disease Pathophysiology.
0,Cognitive reserve and clinical progression in Alzheimer disease: A paradoxical relationship.,0,Cognitive reserve and clinical progression in Alzheimer disease: A paradoxical relationship.
1,Alzheimer disease brain atrophy subtypes are associated with cognition and rate of decline.,1,Alzheimer disease brain atrophy subtypes are associated with cognition and rate of decline.
1,The Real-World Medicare Costs of Alzheimer Disease: Considerations for Policy and Care.,0,The Real-World Medicare Costs of Alzheimer Disease: Considerations for Policy and Care.
0,"Relationship between physical activity, cognition, and Alzheimer pathology in autosomal dominant Alzheimer's disease.",0,"Relationship between physical activity, cognition, and Alzheimer pathology in autosomal dominant Alzheimer's disease."
0,Getting to the Heart of Alzheimer Disease.,0,Getting to the Heart of Alzheimer Disease.
0,In Vivo Characterization and Quantification of Neurofibrillary Tau PET Radioligand <sup>18</sup>F-MK-6240 in Humans from Alzheimer Disease Dementia to Young Controls.,0,In Vivo Characterization and Quantification of Neurofibrillary Tau PET Radioligand <sup>18</sup>F-MK-6240 in Humans from Alzheimer Disease Dementia to Young Controls.
1,Effects of Alzheimer Disease on Patients and Their Family.,0,Effects of Alzheimer Disease on Patients and Their Family.
0,[Anesthesia and Alzheimer disease - Current perceptions].,0,[Anesthesia and Alzheimer disease - Current perceptions].
0,Glaucoma and Alzheimer Disease: One Age-Related Neurodegenerative Disease of the Brain.,1,Glaucoma and Alzheimer Disease: One Age-Related Neurodegenerative Disease of the Brain.
0,Salient networks: a novel application to study Alzheimer disease.,0,Salient networks: a novel application to study Alzheimer disease.
1,Assessment of lipid peroxidation and artificial neural network models in early Alzheimer Disease diagnosis.,1,Assessment of lipid peroxidation and artificial neural network models in early Alzheimer Disease diagnosis.
1,Nursing Home Chain Affiliation and Its Impact on Specialty Service Designation for Alzheimer Disease.,1,Nursing Home Chain Affiliation and Its Impact on Specialty Service Designation for Alzheimer Disease.
1,Golgin A4 in CSF and granulovacuolar degenerations of patients with Alzheimer disease.,1,Golgin A4 in CSF and granulovacuolar degenerations of patients with Alzheimer disease.
1,Interplay between innate immunity and Alzheimer disease: APOE and TREM2 in the spotlight.,0,Interplay between innate immunity and Alzheimer disease: APOE and TREM2 in the spotlight.
1,Wnt is here! Could Wnt signalling be promoted to protect against Alzheimer disease?: An Editorial for 'Wnt signaling loss accelerates the appearance of neuropathological hallmarks of Alzheimer's disease in J20- APP transgenic and wild-type mice' on doi:10.1111/jnc.14278.,1,Wnt is here! Could Wnt signalling be promoted to protect against Alzheimer disease?: An Editorial for 'Wnt signaling loss accelerates the appearance of neuropathological hallmarks of Alzheimer's disease in J20- APP transgenic and wild-type mice' on doi:10.1111/jnc.14278.
1,Predictive Utility of Marketed Volumetric Software Tools in Subjects at Risk for Alzheimer Disease: Do Regions Outside the Hippocampus Matter?,0,Predictive Utility of Marketed Volumetric Software Tools in Subjects at Risk for Alzheimer Disease: Do Regions Outside the Hippocampus Matter?
1,Magnetic resonance imaging texture predicts progression to dementia due to Alzheimer disease earlier than hippocampal volume,0,Magnetic resonance imaging texture predicts progression to dementia due to Alzheimer disease earlier than hippocampal volume
1,Early-Onset Alzheimer Disease and Candidate Risk Genes Involved in Endolysosomal Transport.,1,Early-Onset Alzheimer Disease and Candidate Risk Genes Involved in Endolysosomal Transport.
1,Investigation of Causal Effect of Atrial Fibrillation on Alzheimer Disease: A Mendelian Randomization Study.,1,Investigation of Causal Effect of Atrial Fibrillation on Alzheimer Disease: A Mendelian Randomization Study.
1,Association Between Genetic Traits for Immune-Mediated Diseases and Alzheimer Disease.,1,Association Between Genetic Traits for Immune-Mediated Diseases and Alzheimer Disease.
1,Prion-like mechanisms in Alzheimer disease.,1,Prion-like mechanisms in Alzheimer disease.
1,Semantic Memory in the Clinical Progression of Alzheimer Disease.,1,Semantic Memory in the Clinical Progression of Alzheimer Disease.
1,The Possibility of an Infectious Etiology of Alzheimer Disease.,1,The Possibility of an Infectious Etiology of Alzheimer Disease.
